,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
BRL,0.2574404508,1.4394262785,27.2005464014,9.3523435499,1.273525143,60.2270980961,4.6268248954,0.148390677,0.8269614958,1.8208657048,2762.4092888244,13.9350806796,1.0,13.6415948092,1.2941176471,19.7848544352,6.0131477845,0.1802783232,0.1707504482,0.7985486212,0.3339537266,1.2973448305,1.3090583113,1.9096730129,0.3023136686,3.3564757107,0.1857081875,4.404559037,0.2616579869,0.283411594,0.6500298813,224.2107060531,0.774114232
RUB,0.0188717268,0.1055174486,1.9939418215,0.685575527,0.0933560306,4.4149601963,0.33917038,0.01087781,0.0606205878,0.1334789466,202.4989986482,1.021514044,0.073305212,1.0,0.0948655685,1.4503329495,0.4407950733,0.0132153407,0.0125168978,0.058537776,0.0244805487,0.0951021379,0.0959607971,0.1399889851,0.0221611676,0.2460471637,0.0136133781,0.3228771341,0.0191808942,0.020775547,0.0476505783,16.435813348,0.0567466079
HRK,0.1989312574,1.1122839425,21.0186040375,7.2268109249,0.9840876105,46.5391212561,3.5752737828,0.1146655232,0.6390157013,1.4070325901,2134.5889959098,10.7680168888,0.7727272727,10.5412323526,1.0,15.2882966091,4.646523288,0.139305977,0.1319435282,0.6170602982,0.2580551524,1.0024937327,1.0115450587,1.4756564191,0.2336060166,2.5936403219,0.1435017812,3.4035228922,0.2021902626,0.2189998681,0.5022958174,173.2537274047,0.5981791793
JPY,0.0130119962,0.0727539484,1.3748166048,0.4727021662,0.064368689,3.0441011478,0.2338569086,0.0075002158,0.0417977043,0.0920333132,139.6224216795,0.7043307155,0.0505437128,0.6894968499,0.0654095107,1.0,0.3039268145,0.0091119358,0.0086303616,0.0403616122,0.0168792612,0.0655726245,0.0661646673,0.0965219643,0.0152800552,0.1696487443,0.0093863813,0.2226227669,0.0132251661,0.0143246742,0.0328549236,11.3324415293,0.0391266074
THB,0.0428129259,0.2393798274,4.52351204,1.5553157656,0.2117900954,10.0159018628,0.7694513857,0.0246777033,0.1375255566,0.3028140618,459.3948773285,2.3174352567,0.166302249,2.2686278964,0.2152146751,3.2902657883,1.0,0.0299806906,0.0283961836,0.1328004316,0.0555372558,0.215751363,0.2176993412,0.3175829169,0.050275443,0.5581894593,0.0308836892,0.7324880736,0.0435143117,0.0471319855,0.1081014312,37.2867446615,0.1287369378
CHF,1.4280166698,7.9844667551,150.8808486456,51.8772494791,7.0642167077,334.0784239439,25.664898655,0.8231199091,4.5871377155,10.1003030877,15323.0251941656,77.2975942413,5.5469785944,75.6696344005,7.1784428869,109.7461640462,33.3548020458,1.0,0.9471490813,4.4295321084,1.8524341731,7.1963440045,7.2613184315,10.5929153249,1.6769274484,18.6182989203,1.0301193408,24.431994696,1.4514112521,1.5720780451,3.6057018375,1243.6919871188,4.2939950748
EUR,1.5077,8.43,159.3,54.772,7.4584,352.72,27.097,0.86905,4.8431,10.6639,16178.05,81.6108,5.8565,79.892,7.579,115.87,35.216,1.0558,1.0,4.6767,1.9558,7.5979,7.6665,11.184,1.7705,19.6572,1.0876,25.7953,1.5324,1.6598,3.8069,1313.09,4.5336
MYR,0.3223854427,1.8025530823,34.0624799538,11.7116770372,1.594799752,75.4207026322,5.794042808,0.1858254752,1.0355806445,2.2802189578,3459.2875318066,17.450509975,1.2522719011,17.0829858661,1.6205871662,24.7760172771,7.5300960079,0.2257574786,0.2138259884,1.0,0.4182008681,1.6246284773,1.6392969402,2.3914298544,0.3785789125,4.2032202194,0.232557145,5.5157055188,0.3276669446,0.3549083756,0.8140141553,280.7727671221,0.9694015011
BGN,0.7708865937,4.3102566725,81.450046017,28.0049084773,3.8134778607,180.3456386134,13.8546886185,0.4443450251,2.4762756928,5.4524491257,8271.8324982105,41.7275795071,2.994426833,40.8487575417,3.8751406074,59.2442990081,18.0059310768,0.5398302485,0.5112997239,2.3911954188,1.0,3.8848041722,3.9198793333,5.7183761121,0.9052561612,10.0507209326,0.5560895797,13.1891297679,0.7835156969,0.8486552817,1.9464669189,671.3825544534,2.3180284283
TRY,0.1984364101,1.1095171034,20.966319641,7.2088340199,0.9816396636,46.4233538215,3.566380184,0.1143802893,0.6374261309,1.403532555,2129.2791429211,10.7412311297,0.7708050909,10.5150107266,0.9975124706,15.250266521,4.6349649245,0.1389594493,0.1316153148,0.6155253425,0.2574132326,1.0,1.0090288106,1.4719856803,0.2330249148,2.5871885653,0.1431448163,3.3950565288,0.2016873083,0.2184550994,0.5010463418,172.8227536556,0.596691191
CNY,0.196660797,1.0995891215,20.7787125807,7.1443292245,0.9728559317,46.0079566947,3.5344681406,0.1133568121,0.6317224287,1.3909737168,2110.2263092676,10.6451183721,0.763907911,10.420922194,0.9885867084,15.1138068219,4.5934911629,0.1377160373,0.1304376182,0.6100176091,0.2551098937,0.9910519794,1.0,1.4588143221,0.230939803,2.5640383487,0.1418639536,3.364677493,0.1998826061,0.2165003587,0.4965629688,171.2763320942,0.5913519859
NOK,0.1348086552,0.7537553648,14.2435622318,4.8973533619,0.6668812589,31.5379113019,2.4228361946,0.0777047568,0.433038269,0.9534960658,1446.5352288984,7.2971030043,0.5236498569,7.1434191702,0.6776645207,10.3603361946,3.1487839771,0.0944027182,0.0894134478,0.4181598712,0.1748748212,0.6793544349,0.6854881974,1.0,0.1583065093,1.7576180258,0.0972460658,2.3064467096,0.1370171674,0.1484084406,0.3403880544,117.4079041488,0.4053648069
NZD,0.8515673539,4.7613668455,89.974583451,30.9358938153,4.2125953121,199.2205591641,15.3047161819,0.4908500424,2.7354419655,6.023100819,9137.5600112962,46.0947754872,3.307822649,45.1239762779,4.2807116634,65.4447896075,19.8904264332,0.5963287207,0.5648121999,2.6414572155,1.1046597006,4.291386614,4.3301327309,6.3168596442,1.0,11.1026263767,0.6142897487,14.5695001412,0.8655182152,0.9374752895,2.150183564,741.6492516238,2.5606325897
ZAR,0.0766996317,0.4288504975,8.1039008608,2.7863581792,0.3794233156,17.9435524897,1.3784770975,0.0442102639,0.2463779175,0.5424933358,823.0088720672,4.1517001404,0.2979315467,4.0642614411,0.3855584722,5.8945322833,1.79150642,0.0537105997,0.0508719451,0.2379128258,0.0994953503,0.386519952,0.3900097674,0.5689518344,0.0900687789,1.0,0.0553283275,1.3122570865,0.0779561687,0.0844372545,0.193664408,66.7994424435,0.2306330505
USD,1.3862633321,7.7510114013,146.4692901802,50.3604266274,6.8576682604,324.3104082383,24.9144906216,0.7990529606,4.4530158146,9.8049834498,14875.0,75.0375137918,5.384792203,73.4571533652,6.9685546157,106.5373299007,32.3795513056,0.9707613093,0.9194556822,4.3000183891,1.7982714233,6.9859323281,7.0490069879,10.2831923501,1.6278962854,18.0739242369,1.0,23.71763516,1.4089738875,1.5261125414,3.5002758367,1207.3280617874,4.168444281
MXN,0.0584486321,0.3268037201,6.1755436068,2.1233325451,0.2891379437,13.6738087946,1.0504626812,0.0336902459,0.187751257,0.4134047675,627.1704535322,3.1637856509,0.2270374836,3.0971533574,0.293813214,4.4919035638,1.3652099413,0.0409299368,0.0387667521,0.1813004695,0.0758200137,0.2945459056,0.2972053048,0.4335673553,0.0686365346,0.762045799,0.0421627196,1.0,0.0594061709,0.0643450551,0.1475811485,50.9042344923,0.1757529472
SGD,0.9838814931,5.501174628,103.9545810493,35.7426259462,4.8671365179,230.1748890629,17.6827199165,0.5671169407,3.1604672409,6.9589532759,10557.3283737927,53.2568519969,3.8217828243,52.1352127382,4.9458365962,75.6134168624,22.980944923,0.6889845993,0.6525711303,3.0518794049,1.2762986165,4.9581701906,5.0029365701,7.2983555208,1.1553771861,12.8277212216,0.7097363613,16.8332680762,1.0,1.083137562,2.4842730358,856.8846254242,2.9584964761
AUD,0.9083624533,5.0789251717,95.9754187251,32.9991565249,4.4935534402,212.5075310278,16.3254608989,0.5235871792,2.9178816725,6.4248102181,9746.9875888661,49.1690565128,3.5284371611,48.1335100615,4.5662127967,69.8096156163,21.2170140981,0.636100735,0.6024822268,2.81762863,1.1783347391,4.5775997108,4.6189299916,6.7381612242,1.0666947825,11.8431136281,0.6552596698,15.5412097843,0.9232437643,1.0,2.2935895891,791.1133871551,2.7314134233
ILS,0.3960440253,2.2144001681,41.8450707925,14.3875594316,1.9591793848,92.6528146261,7.1178649295,0.2282828548,1.2721899708,2.8012030786,4249.6650818251,21.4376001471,1.5383908167,20.9861041793,1.9908587039,30.4368383724,9.250571331,0.2773385169,0.2626809215,1.2284798655,0.5137513462,1.9958233733,2.0138432846,2.9378234259,0.4650765715,5.1635714098,0.2856917702,6.775933174,0.4025322441,0.4359977935,1.0,344.9236911923,1.1908902256
KRW,0.0011482077,0.0064199712,0.1213168937,0.0417122969,0.0056800372,0.2686182973,0.0206360569,0.0006618358,0.003688323,0.0081212255,12.3205949326,0.0621517185,0.0044600903,0.060842745,0.0057718816,0.0882422378,0.0268191822,0.0008040576,0.0007615624,0.003561599,0.0014894638,0.0057862751,0.0058385183,0.0085173141,0.0013483463,0.0149701848,0.0008282753,0.0196447311,0.0011670183,0.0012640413,0.002899192,1.0,0.0034526194
PLN,0.3325613199,1.8594494442,35.1376389624,12.081348156,1.6451385213,77.8013058055,5.9769278278,0.1916909299,1.0682680431,2.3521925181,3568.4775895536,18.0013234516,1.2917990118,17.6221986942,1.6717398977,25.5580554085,7.767778366,0.2328833598,0.2205752603,1.0315643197,0.4314010941,1.6759087701,1.6910402329,2.466913711,0.3905284983,4.3358920064,0.2398976531,5.6898050115,0.3380095289,0.366110817,0.8397079584,289.6351685195,1.0
